url,town_vilage,voivodeship,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/sprzedam-dom-w-borach-tucholskich-iwiec-ID35Xgs.html#825de0851f,Iwiec,kujawskopomorskie,3,145000,100,1200
https://www.otodom.pl/oferta/widokowa-cicha-zielona-okolica-na-wzgorzu-ID46Jlt.html#825de0851f,Nakło Śląskie,śląskie,5,515000,162,1377
https://www.otodom.pl/oferta/domek-na-dzialce-rod-bugaj-okolice-jeziora-i-lasu-ID46Jlp.html#825de0851f,Bugaj,wielkopolskie,3,99000,45,388
https://www.otodom.pl/oferta/zabierzow-dom-do-zamieszkania-lokalizacja-ID46Jlo.html#825de0851f,Zabierzów,małopolskie,5,695000,130,215
https://www.otodom.pl/oferta/dom-131-65-m-opole-ID46Jll.html#825de0851f,Opole,opolskie,5,499000,131.65,350
https://www.otodom.pl/oferta/dom-w-walimiu-ID46Jlj.html#825de0851f,Walim,dolnośląskie,9,225000,300,1500
https://www.otodom.pl/oferta/komfortowy-dom-wolnostojacy-160m2-kawdodrza-ID46Jlc.html#825de0851f,Częstochowa,śląskie,5,699000,160,610
https://www.otodom.pl/oferta/dom-140m2-kawodrza-dzialka1450m2-320tys-ID46Jlb.html#825de0851f,Częstochowa,śląskie,5,320000,140,1450
https://www.otodom.pl/oferta/dom-na-sprzedaz-warszawa-targowek-zacisze-ID46Jla.html#825de0851f,Warszawa,mazowieckie,10,2560000,350,450
https://www.otodom.pl/oferta/dom-166-m-czestochowa-ID46Jl9.html#825de0851f,Częstochowa,śląskie,5,540000,166,550
https://www.otodom.pl/oferta/dom-z-pieknym-ogrodem-przy-spokojnej-ulicy-ID46Jl3.html#825de0851f,Poznań,wielkopolskie,7,860000,230,NA
https://www.otodom.pl/oferta/caloroczny-domek-mobilny-48m2-altana-z-tarasem-ID45Kc8.html#825de0851f,Warszawa,mazowieckie,3,129000,48,NA
https://www.otodom.pl/oferta/dom-blizniak-augustow-ID46JkS.html#825de0851f,Augustów,podlaskie,4,480000,110,455
https://www.otodom.pl/oferta/nowoczesny-wykonczony-dom-98-m2-dzialka-373m2-ID46Ex9.html#825de0851f,Nadolice Wielkie,dolnośląskie,4,610000,98.91,373
https://www.otodom.pl/oferta/sprzedam-pol-najpiekniejszej-kamienicy-w-z-gorze-ID454WY.html#825de0851f,Zielona Góra,lubuskie,4,495000,94,540
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-radzymin-ID46JkX.html#825de0851f,Radzymin,mazowieckie,4,570000,129.1,250
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-kobylka-ID46JkP.html#825de0851f,Kobyłka,mazowieckie,4,840000,310,780
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-zielonka-ID46Jkb.html#825de0851f,Zielonka,mazowieckie,NA,2650000,492.5,620
https://www.otodom.pl/oferta/nowoczesny-blizniak-z-duza-dzialka-gdynia-kosakowo-ID43WTI.html#825de0851f,Kosakowo,pomorskie,4,630000,140,500
https://www.otodom.pl/oferta/dom-z-2009-r-milicz-6-pokoi-ID425TN.html#825de0851f,Ruda Milicka,dolnośląskie,6,850000,211,1601
https://www.otodom.pl/oferta/dom-z-ogrodem-i-garazem-bielany-warszawa-ID46uOk.html#825de0851f,Warszawa,mazowieckie,3,1000000,106,252
https://www.otodom.pl/oferta/pol-blizniaka-w-nowych-liniach-ID46Jk5.html#c3f9e276b5,Nowe Linie,zachodniopomorskie,3,230000,53.5,2072
https://www.otodom.pl/oferta/tutaj-moznesz-odetchnac-na-lonie-przyrody-niemcz-ID45v4r.html#c3f9e276b5,Jagodowo,kujawskopomorskie,4,640000,136,970
https://www.otodom.pl/oferta/zamieszkaj-pieknie-olimpin-dom-tylko-do-aranzacji-ID45OoC.html#c3f9e276b5,Olimpin,kujawskopomorskie,4,549000,135,1085
https://www.otodom.pl/oferta/dom-302m2-pod-agroturystyke-broczyno-ID4693H.html#c3f9e276b5,Broczyno,zachodniopomorskie,3,320000,302,2400
https://www.otodom.pl/oferta/dom-z-tarasem-i-garazami-w-sochaczewie-ID43csP.html#c3f9e276b5,Sochaczew,mazowieckie,6,400000,160,609
https://www.otodom.pl/oferta/nowoczesny-dom-259m2-w-brzozie-lesny-zakatek-ID43bwD.html#c3f9e276b5,Brzoza,kujawskopomorskie,5,1150000,259,2000
https://www.otodom.pl/oferta/zamieszkaj-w-domu-z-ogrodem-w-markach-ID46JjC.html#c3f9e276b5,Marki,mazowieckie,6,730000,128.96,NA
https://www.otodom.pl/oferta/wasosz-dom-na-dzialce-budowlanej-967m2-ID46ymZ.html#c3f9e276b5,Wąsosz,kujawskopomorskie,3,300000,67,967
https://www.otodom.pl/oferta/sprzedam-dom-ID46JhM.html#c3f9e276b5,Mysłowice,śląskie,4,480000,199,645
https://www.otodom.pl/oferta/dom-wolnostojacy-w-spokojnej-okolicy-ID44V90.html#c3f9e276b5,Stargard,zachodniopomorskie,5,670000,195.03,544
https://www.otodom.pl/oferta/3-domy-wolnostojace-lokalizacja-premium-ID37KkV.html#c3f9e276b5,Lesznowola,mazowieckie,5,999000,190,700
https://www.otodom.pl/oferta/osiedle-blizniakow-blisko-goclawia-ID46Jjs.html#c3f9e276b5,Warszawa,mazowieckie,5,999999,189,198
https://www.otodom.pl/oferta/blizniak-bliski-wawer-700m-od-mostu-siekierkowsko-ID46Jjp.html#c3f9e276b5,Warszawa,mazowieckie,5,1399000,224,198
https://www.otodom.pl/oferta/dom-102m2-w-zabudowie-szeregowej-4-pokoje-smolec-ID46Jjn.html#c3f9e276b5,Smolec,dolnośląskie,4,729000,102.49,NA
https://www.otodom.pl/oferta/bliski-wawer-700m-od-mostu-siekierkowskiego-ID46Jjm.html#c3f9e276b5,Warszawa,mazowieckie,5,1399000,224,198
https://www.otodom.pl/oferta/dom-pod-inwestycje-zarejestrowana-dzialalnosc-ID43m08.html#c3f9e276b5,Radwanice,dolnośląskie,10,850000,420,1000
https://www.otodom.pl/oferta/luksusowa-i-bezpieczna-rezydencja-w-blisko-centrum-ID436XG.html#c3f9e276b5,Warszawa,mazowieckie,5,14000000,NA,9520
https://www.otodom.pl/oferta/niezwykly-dom-z-duzym-ogrodem-ok-6000m2-ID456vm.html#c3f9e276b5,Białogard,zachodniopomorskie,7,1500000,227,5875
https://www.otodom.pl/oferta/osiedle-konstancja-ul-lema-2018-plot-1062m2-ID45Ux5.html#c3f9e276b5,Bielawa,mazowieckie,7,3996000,296,1062
https://www.otodom.pl/oferta/wolnostojacy-k-nowego-wilanowa-szkoly-ul-uprawnej-ID46Boc.html#c3f9e276b5,Warszawa,mazowieckie,6,2165000,320,789
https://www.otodom.pl/oferta/mogilany-stylowy-klimatyczny-dom-w-dobrej-cenie-ID46Jj3.html#c3f9e276b5,Mogilany,małopolskie,5,890000,313,1684
https://www.otodom.pl/oferta/okazja-dom-do-zamieszkania-w-lochowie-379-tys-ID46CNf.html#c3f9e276b5,Łochowo,kujawskopomorskie,6,379000,195,861
https://www.otodom.pl/oferta/dom-lochowo-ID46Gnk.html#c3f9e276b5,Łochowo,kujawskopomorskie,5,760000,150,878
https://www.otodom.pl/oferta/dom-w-drzewcach-204-m2-na-sprzedaz-ID46IJT.html#c3f9e276b5,Drzewce,kujawskopomorskie,4,932000,204,NA
https://www.otodom.pl/oferta/nowoczesny-komfortowy-energooszczednydom-pod-lasem-ID46JiP.html#77a5cc54ac,Nowa Wieś Tworoska,śląskie,4,599000,115,921
https://www.otodom.pl/oferta/dom-133-22-m-legionowo-ID41zbZ.html#77a5cc54ac,Legionowo,mazowieckie,5,750000,133.22,471
https://www.otodom.pl/oferta/cichy-sloneczny-przestronny-dom-ul-golebia-ID46eIx.html#77a5cc54ac,Józefów,mazowieckie,7,1100000,346.5,752
https://www.otodom.pl/oferta/dom-duzy-premium-560m2-5000m2-ryboly-zabludow-ID45oPp.html#77a5cc54ac,Ryboły,podlaskie,7,1250000,560,5000
https://www.otodom.pl/oferta/rezydencja-mazury-10ha-las-staw-agroturystyka-ID46rfc.html#77a5cc54ac,Kozłowo,warmińskomazurskie,NA,1749000,406.4,105000
https://www.otodom.pl/oferta/stylowy-nowy-perfektyjny-dom-w-radosci-ze-spa-ID46Jiz.html#77a5cc54ac,Warszawa,mazowieckie,5,4590000,270,1100
https://www.otodom.pl/oferta/gdynia-orlowa-unikalna-dzialka-pod-samym-lasem-ID46I9Q.html#77a5cc54ac,Gdynia,pomorskie,NA,4000000,319.9,1256
https://www.otodom.pl/oferta/sprzedam-dom-na-osiedlu-wygoda-ul-pusta-ID45nNW.html#77a5cc54ac,Białystok,podlaskie,6,844000,240,596
https://www.otodom.pl/oferta/dom-letniskowo-mieszkalny-zamiana-na-mieszkanie-ID46Jix.html#77a5cc54ac,Niesulice,lubuskie,3,175000,160,470
https://www.otodom.pl/oferta/chotel-czerwony-ID301u8.html#77a5cc54ac,Chotel Czerwony,świętokrzyskie,NA,250000,866,7000
https://www.otodom.pl/oferta/udzialu-myszkow-ul-gruchla-49-ID46Jim.html#77a5cc54ac,Myszków,śląskie,3,NA,80,5655
https://www.otodom.pl/oferta/bobrowiec-segment-skrajny-8-pokoi-dzialka-625m2-ID43gTo.html#77a5cc54ac,Bobrowiec,mazowieckie,8,779000,242,625
https://www.otodom.pl/oferta/olsztynek-kochanowskiego-ID46uN6.html#77a5cc54ac,Olsztynek,warmińskomazurskie,4,345000,118,318
https://www.otodom.pl/oferta/komfortowy-dom-w-stylu-staropolskim-ID45Zuc.html#77a5cc54ac,Lublin,lubelskie,5,675000,140,1000
https://www.otodom.pl/oferta/luksusowy-dom-chyby-ID46Jia.html#77a5cc54ac,Chyby,wielkopolskie,7,3400000,360,1030
https://www.otodom.pl/oferta/dom-do-remontu-przezmierowo-ID46Ji7.html#77a5cc54ac,Przeźmierowo,wielkopolskie,5,280000,70,NA
https://www.otodom.pl/oferta/zamieszkaj-w-luksusie-blisko-terenow-zielonych-ID45rkj.html#77a5cc54ac,Warszawa,mazowieckie,9,8900000,830,2730
https://www.otodom.pl/oferta/wyjatkowy-dom-dla-ciebie-i-twojej-rodziny-ID46hLC.html#77a5cc54ac,Konstancin-Jeziorna,mazowieckie,5,2600000,280,570
https://www.otodom.pl/oferta/gotowy-piekny-blizniak-blisko-gdanska-ID46JhU.html#77a5cc54ac,Czaple,pomorskie,4,689000,124.5,411
https://www.otodom.pl/oferta/klimatyczny-domz-potencjalem-wmalowniczej-scenerii-ID46JhT.html#77a5cc54ac,Laryszów,śląskie,5,265000,185,869
https://www.otodom.pl/oferta/dom-na-sprzedaz-w-granicy-lasu-ciekawa-propozycja-ID44on8.html#77a5cc54ac,Tomaszów Mazowiecki,mazowieckie,5,NA,194,586
https://www.otodom.pl/oferta/dom-szeregowy-126-89m2-ogrodek-8-7km-od-centrum-ID46JhQ.html#77a5cc54ac,Radomierzyce,dolnośląskie,5,597000,126.89,135
